Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Ethnic minority identity and group context: Self-descriptions, acculturation attitudes and group evaluations in an intra- and intergroup situation.","Verkuyten, Maykel; de Wolf, Angela",European Journal of Social Psychology,00462772,,20021101,32,6,781,20,2002-11176-005,10.1002/ejsp.121,John Wiley & Sons,Journal Article,Acculturation; Ethnic Identity; Intergroup Dynamics; Minority Groups; Social Identity; Asians; Ingroup Outgroup; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female,,"In an experimental questionnaire study among 151 Chinese participants (aged 17-28 yrs) living in the Netherlands, it was found that self-descriptions, acculturation attitudes and ingroup evaluation were affected by the comparative group context. Following self-categorization theory, different predictions were tested and supported. Self-ratings on trait adjectives systematically, differed between an intragroup (Chinese) and an intergroup (Chinese vs Dutch) context. Furthermore, ethnic self-categorization turned out to be related to self-descriptions in the intragroup context, whereas ethnic self-esteem showed an effect on self-descriptions in the intergroup context. Acculturation attitudes and ingroup favouritism were also affected by the comparative context. In the intergroup context, participants were more strongly in favour of heritage culture maintenance and reported higher ingroup favouritism than in the intragroup context. It is concluded that studies on ethnic minorities should consider the important and often neglected intragroup processes and comparisons in addition to the familiar minority-majority group comparisons. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2002-11176-005&site=ehost-live&scope=site
Ethnic minority psychology: Struggles and triumphs.,"Sue, Stanley",Cultural Diversity and Ethnic Minority Psychology,10999809,143380767X,20091001,15,4,409,7,2009-21279-009,10.1037/a0017559,Educational Publishing Foundation,Comment/Reply,History; Minority Groups; Psychology; Racial and Ethnic Groups; Alaska Natives; American Indians; Asians; Blacks; Diversity; Leadership Qualities; Racial and Ethnic Relations; Latinos/Latinas,,"This article focuses on my interpretation of the history of ethnic minority psychology, using as a base the presentations of the contributing authors to this special issue of Cultural Diversity and Ethnic Minority Psychology (see records [rid]2009-21279-002[/rid], [rid]2009-21279-003[/rid], [rid]2009-21279-004[/rid], [rid]2009-21279-005[/rid], [rid]2009-21279-006[/rid], [rid]2009-21279-007[/rid], and [rid]2009-21279-008[/rid]). Because each contributing author has focused on a particular ethnic group or a particular aspect of history, my goal is to focus on 3 common issues and problems. First, what are the themes and issues that confronted African Americans, American Indians and Alaska Natives, Asian Americans, and Latinos? Second, what were characteristics of the ethnic leaders on whose shoulders we now stand? Third, what kinds of relationships existed between members of different ethnic minority groups? (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-21279-009&site=ehost-live&scope=site
"Ethnic residential segregation in New Zealand, 1991–2006.","Grbic, Douglas; Ishizawa, Hiromi; Crothers, Charles",Social Science Research,0049089X,,20100101,39,1,25,14,2009-22057-005,10.1016/j.ssresearch.2009.05.003,Elsevier Science,Journal Article,Housing; Immigration; Indigenous Populations; Minority Groups; Social Integration; Asians; Pacific Islanders; Racial and Ethnic Groups; Racial and Ethnic Differences; Racial and Ethnic Relations; Adulthood (18 yrs & older); Male; Female,,"New Zealand has experienced a marked increase in immigration since the early 1990s, which has fostered greater ethnic diversity. However, little is known about the changing patterns of spatial differentiation among ethnic groups. Using the New Zealand Census data from 1991 to 2006, we examine the patterns of Asian, Maori, and Pacific people residential segregation from the majority European population. We then assess the effects of ethnic group and geographic level characteristics on the levels of segregation. The results reveal that Pacific people are the most segregated group from Europeans. The levels of segregation have declined only slightly for Maori and Pacific people over time, but increased gradually for Asians. While results show general support for spatial assimilation theory, different sets of factors were found to be associated with levels of segregation for each ethnic minority group. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2009-22057-005&site=ehost-live&scope=site
Ethnic role salience in racially homogeneous and heterogeneous societies.,"Bochner, Stephen; Ohsako, Toshio",Journal of Cross-Cultural Psychology,00220221,,19771201,8,4,477,16,1978-29166-001,10.1177/002202217784009,Sage Publications,Journal Article,Cross Cultural Differences; Ethnic Identity; Social Perception; Asians; Whites,,"Presented 180 Hawaiian-Japanese, Japanese, and Australian undergraduates with a slide depicting either a Japanese or a Caucasian couple, and asked them to describe 3 ways in which the 2 persons in the picture were similar. The dependent variable was ethnic role salience, measured in terms of the frequency and rank order of ethnic trait references appearing spontaneously in the descriptions. Contrary to orthodox role theory, but as predicted by W. I. McGuire and A. Padawer-Singer's (see record [rid]1976-26089-001[/rid]) distinctiveness theory of selective perception, the Japanese described the Caucasian but not the Japanese couple in ethnic terms; the Australians described the Japanese but not the Caucasian couple in ethnic terms; and the Hawaiian-Japanese described both the Japanese and the Caucasian couple in ethnic terms. (17 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1978-29166-001&site=ehost-live&scope=site
"Ethnic self-identification, ethnic involvement, and group differentiation among Chinese youth in the Netherlands.","Verkuyten, M.; Kwa, G. A.",The Journal of Social Psychology,00224545,,19960201,136,1,35,14,1996-03411-004,10.1080/00224545.1996.9923027,Heldref Publications,Journal Article,Ethnic Identity; Intergroup Dynamics; Involvement; Racial and Ethnic Groups; Racial and Ethnic Differences; Asians; Childhood (birth-12 yrs); Adolescence (13-17 yrs),,"Explored ethnic self-identification among 119 Chinese minority youth (aged 12–17 yrs) living in the Netherlands. Measures included the Twenty Statements Test and questions that assessed friendships and relationships. Four types of ethnic self-identification were differentially related to ethnic involvement and to intergroup differentiation, suggesting that group identification may be less straightforward than researchers have assumed. Collectivism as an individual difference variable was related to ethnic self-description and to ethnic involvement. In-group favoritism and an in-group homogeneity effect (both of which may be a function of the Chinese minority position in the Netherlands or of the Chinese collectivist culture) were evident. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1996-03411-004&site=ehost-live&scope=site
Ethnic variation in gratitude and well-being.,"Corona, Karina; Senft, Nicole; Campos, Belinda; Chen, Chuansheng; Shiota, Michelle; Chentsova-Dutton, Yulia E.",Emotion,15283542,,20190314,,,,,2019-12084-001,10.1037/emo0000582,American Psychological Association,Journal Article,Emotions; Gratitude; Racial and Ethnic Differences; Well Being; Asians; Health; Self-Esteem; Latinos/Latinas; Positive Emotions; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female,,"Gratitude is positively associated with health and well-being. Past studies of gratitude have primarily focused on the distinct cultural context of European Americans. The current studies aimed to extend gratitude research to Latino and East Asian Americans, 2 collectivistic contexts known to differently value positive emotions. Two studies explored whether Latino and East Asian Americans varied in gratitude experience and whether the disposition toward gratitude was associated with well-being for both. In Study 1, participants completed measures of the emotional experience and expression of gratitude. Latino Americans rated the desirability, appropriateness, frequency, and intensity of their gratitude experience–expression higher than did East Asian Americans. Moreover, European Americans’ gratitude experience and expression was similar to those of Latino Americans and higher than those of East Asian Americans. In Study 2, participants completed measures of gratitude disposition and indicators of well-being. Latino Americans reported a higher disposition toward gratitude than did East Asian Americans. Higher disposition toward gratitude was associated with higher self-esteem and with less loneliness and perceived stress across groups. However, the strength of the association of gratitude with subjective health and depressive symptoms varied by group in theoretically expected ways. The promising possibilities of extending research on gratitude to culturally diverse groups is discussed. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-12084-001&site=ehost-live&scope=site
Ethnic variation in peer influences on adolescent smoking.,"Unger, Jennifer B.; Rohrbach, Louise Ann; Cruz, Tess Boley; Baezconde-Garbanati, Lourdes; Howard, Kim Ammann; Palmer, Paula H.; Johnson, C. Anderson",Nicotine & Tobacco Research,14622203,,20010501,3,2,167,10,2001-07252-008,10.1080/14622200110043086,Taylor & Francis,Journal Article,Adolescent Attitudes; Drug Usage Attitudes; Peer Pressure; Racial and Ethnic Differences; Tobacco Smoking; Asians; Blacks; Racial and Ethnic Groups; Whites; Latinos/Latinas; Adolescence (13-17 yrs); Male; Female,,"Using data from 5,870 8th-grade adolescents in California, this study examined ethnic differences in the association between peer influence variables and smoking behavior and susceptibility. Informational peer influence (best friends' smoking behavior) and normative peer influence (prevalence estimates of peer smoking) were investigated. We hypothesized that informational peer influences would be stronger among Whites than among Asian Americans, Pacific Islanders, Hispanics, and African Americans. Conversely, we hypothesized that normative peer influences would be stronger among ethnic minority adolescents from collectivist cultural backgrounds than among Whites. Consistent with previous studies, friends' smoking and prevalence estimates of peer smoking were risk factors for past 30-day smoking and susceptibility to smoking across ethnic groups. The influence of friends' smoking behavior was stronger among Whites than among several other groups: Pacific Islanders, African Americans, and Hispanic/Latinos. The influence of prevalence estimates of peer smoking was stronger among Whites than among multiethnic adolescents. Results indicate that cultural factors may play a role in peer influences on smoking initiation. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-07252-008&site=ehost-live&scope=site
Ethnic variations between Asian and European Americans in interpersonal sources of socially prescribed perfectionism: It’s not just about parents!,"Perera, Marisa J.; Chang, Edward C.",Asian American Journal of Psychology,19481985,,20150301,6,1,31,7,2014-13636-001,10.1037/a0036175,Educational Publishing Foundation,Journal Article,Cross Cultural Differences; Expectations; Interpersonal Interaction; Perfectionism; Asians; College Students; Parents; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female,,"To understand whether interpersonal sources other than parents are involved in socially prescribed perfectionism, a set of interpersonal sources that may represent the unrealistically high expectations of socially prescribed perfectionism (viz., parents, teachers, friends, peers, siblings, romantic partner, and culture) was tested as a predictor of socially prescribed perfectionism in a sample of Asian American and European American university students. Results indicated there are several sources involved in the expectations associated with socially prescribed perfectionism in both Asian American and European American university students. Noteworthy, beyond variance accounted for expectations prescribed by parents, expectations prescribed by peers were found to account for a large amount of variance in socially prescribed perfectionism in Asian Americans and expectations prescribed by teachers were found to account for a large amount of variance in European Americans. Implications for future research involving ethnic variations in the interpersonal sources that represent the unrealistically high expectations of socially prescribed perfectionism are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-13636-001&site=ehost-live&scope=site
Ethnic/cultural identity salience and conflict styles in four US ethnic groups.,"Ting-Toomey, Stella; Yee-Jung, Kimberlie K.; Shapiro, Robin B.; Garcia, Wintilo; Wright, Trina J.; Oetzel, John G.",International Journal of Intercultural Relations,01471767,,20000101,24,1,47,35,2000-13201-003,10.1016/S0147-1767(99)00023-1,Elsevier Science,Journal Article,Conflict; Cross Cultural Differences; Ethnic Identity; Self-Concept; Asians; Blacks; Whites; Latinos/Latinas; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male; Female,,"Examined the influence of ethnic background, ethnic identity, and cultural identity on conflict styles among African Americans, Asian Americans, European Americans, and Latino(a) Americans. Four dimensions were found of ethnic identity: ethnic belonging, fringe, intergroup interaction, and assimilation. Two clear identity dimensions:ethnic identity salience and cultural identity salience and 7 conflict management styles were also found. 662 Ss (mean age 24 yrs) participated in the study. Results show: (1) African Americans have a stronger ethnic identity and a weaker cultural identity than the other ethnic groups; (2) European Americans have a weaker ethnic identity than the other groups; (3) Latino(a) Americans and Asian Americans use avoiding and third party conflict styles more than African Americans, and, Asian Americans use avoiding conflict style more than European Americans; (4) individuals with a strong cultural identity use integrating, compromising, and emotionally expressive conflict styles more than individuals with a weak cultural identity; (5) individuals with a strong ethnic identity use integrating conflict style more than individuals with a weak ethnic identity. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2000-13201-003&site=ehost-live&scope=site
Ethnicity and body dissatisfaction among women in the United States: A meta-analysis.,"Grabe, Shelly; Hyde, Janet Shibley",Psychological Bulletin,00332909,,20060701,132,4,622,19,2006-08436-009,10.1037/0033-2909.132.4.622,American Psychological Association,Journal Article,Body Image; Dissatisfaction; Human Females; Racial and Ethnic Differences; Asians; Blacks; Whites; Latinos/Latinas; Female,,"The prevailing view in popular culture and the psychological literature is that White women have greater body dissatisfaction than women of color. In this meta-analysis, 6 main effect sizes were obtained for differences among Asian American, Black, Hispanic, and White women with a sample of 98 studies, yielding 222 effect sizes. The average d for the White-Black comparison was 0.29, indicating that White women are more dissatisfied, but the difference is small. All other comparisons were smaller, and many were close to zero. The findings directly challenge the belief that there are large differences in dissatisfaction between White and all non-White women and suggest that body dissatisfaction may not be the golden girl problem promoted in the literature. Implications for theory and treatment are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-08436-009&site=ehost-live&scope=site
Ethnicity and gender stereotypes of emotion.,"Durik, Amanda M.; Hyde, Janet Shibley; Marks, Amanda C.; Roy, Amanda L.; Anaya, Debra; Schultz, Gretchen",Sex Roles: A Journal of Research,03600025,,20060401,54,8-Jul,429,17,2007-07608-002,10.1007/s11199-006-9020-4,Springer,Journal Article,Emotions; Ethnic Identity; Human Sex Differences; Stereotyped Behavior; Asians; Whites; Latinos/Latinas; Adulthood (18 yrs & older); Male; Female,,"In three studies we investigated gender stereotypes of emotions among four ethnic groups in the U.S., using persons from these groups as informants about their own groups. European Americans' reports of stereotypes were compared to those of African Americans (Study 1), Hispanic Americans (Study 2), and Asian Americans (Study 3). The examination of group differences was interpreted based on variations across ethnicities in norms concerning emotional expression and gender roles. Overall, gender stereotypes of emotion were evident among all ethnic groups studied, but European Americans' gender stereotypes were the most gender differentiated. For example, European American stereotypes held that men express more pride than women do, but African Americans' stereotypes of pride for men and women did not differ. Similarly, whereas among European Americans, women were stereotyped to express much more love than men do, the gender difference was smaller among Hispanic Americans and Asian Americans. These different norms may pose challenges for inter-cultural interactions, and they point to the importance of considering both gender and ethnicity simultaneously in the study of emotions. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-07608-002&site=ehost-live&scope=site
Ethnicity and the course of opiate addiction: Native-born Americans vs. Hmong in Minnesota.,"Westermeyer, Joseph; Chitasombat, Panupong",The American Journal on Addictions,10550496,,19960601,5,3,231,10,1996-05726-004,10.3109/10550499609041177,Taylor & Francis,Journal Article,Demographic Characteristics; Drug Dependency; Opiates; Psychosocial Factors; Racial and Ethnic Differences; Asians; Whites; Adulthood (18 yrs & older); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female,,"Studied the demographic and psychosocial correlates of opiate dependence among 2 ethnic groups in Minnesota. Ss were 57 Hmong (Laotian) immigrants, who used opium exclusively by smoking, and 80 native-born Americans, who used heroin by injection. Ethnic peers interviewed Ss in their native language, using the modified Michigan Alcohol-Drug Screening Test, the Beck Depression Inventory, and the 90-item Symptom Checklist. American Ss were more likely to be employed, had more education, a younger age at onset of opiate use, higher addiction scores, more legal problems, spent about 50 times more money per day on drugs, had used more treatment, and more self-help methods. Hmong Ss were more likely to be men, married and living with family, had longer periods of abstinence, and more of certain psychological symptoms. Differences were related to culture, type of opiate, and immigrant/refugee status. Similarities (e.g., types and severity of certain drug-related problems, family history of substance abuse) suggested that certain core features of opiate dependence persist despite differences in ethnicity and type of opiate used. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1996-05726-004&site=ehost-live&scope=site
Ethnicity and the relationship between adolescent alcohol use and suicidal behavior.,"Groves, Shelly A.; Stanley, Barbara H.; Sher, Leo",International Journal of Adolescent Medicine and Health,03340139,,20070101,19,1,19,7,2007-05920-004,10.1515/IJAMH.2007.19.1.19,Freund Publishing House,Journal Article,Ethnic Identity; Suicidal Ideation; Alcohol Abuse; Asians; At Risk Populations; Blacks; Psychopathology; Suicide; Adolescence (13-17 yrs); Male; Female,,"Adolescent suicide is the 3rd leading cause of death in the United States and alcohol consumption is estimated to cause adolescent males to be up to 17 times more likely to attempt suicide, and females three times more likely to attempt suicide. Suicide and suicide attempt rates vary across different ethnicities. Also, associated psychopathology, stressors and substance use differ across ethnic groups in adolescents. In an exhaustive review of the literature, we found that depressed Asian-American youth were four times more likely to display suicidal behavior when compared to other Asian youths with other diagnoses; and depressed African-American females were more likely to report suicidal ideation than male adolescents. We also found that Asian-Americans who experience high parental conflict are 30 times more likely to engage in suicidal behavior when compared to Asian-American youths with low parental conflict. African-American adolescents are 6.4 times more likely to attempt suicide as a result of parental conflict. With respect to alcohol use and dependence, Caucasian adolescents were twice as likely as the African American victims to have used alcohol before committing suicide. Alcohol use among adolescents was associated with increased suicidal behavior. Cultural differences in alcohol consumption may account for disparities, however future research is needed to further examine cultural trends in suicidal behavior and alcoholism. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-05920-004&site=ehost-live&scope=site
Ethnicity and the stigma of disabilities.,"Saetermoe, Carrie L.; Scattone, Dorothy; Kim, Kevin H.",Psychology & Health,08870446,,20010101,16,6,699,16,2002-00843-006,10.1080/08870440108405868,Taylor & Francis,Journal Article,Cross Cultural Differences; Mental Illness (Attitudes Toward); Physical Disabilities (Attitudes Toward); Racial and Ethnic Differences; Stigma; Asians; Blacks; Psychosocial Factors; Whites; Latinos/Latinas; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Male; Female,,"Recent studies reveal significant differences in the attitudes held by people of various ethnic groups toward people with disabilities, The authors surveyed university students and community members (all aged 18–61 yrs) on a scale of desired social distance from people with disabilities. Study 1 revealed that Asian-American participants were more likely to stigmatize and less likely to differentiate between individuals with physical and mental illness than were their African-American, Latin-American or European-American counterparts. Study 2 compared U.S. born with Asian born Asian-Americans and found that nativity was a useful predictor of attitudes toward people with disabilities. Asian born participants were more likely to stigmatize disabilities overall (except mental illness and old age) than U.S. born participants presumably because of the level of assimilation. These cultural differences may have health care and psychosocial implications for those who are disabled and for health care providers. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2002-00843-006&site=ehost-live&scope=site
Ethnicity as a construct in leisure research: A rejoinder to Gobster.,"Chick, Garry; Li, Chieh-lu; Zinn, Harry C.; Absher, James D.; Graefe, Alan R.",Journal of Leisure Research,00222216,,20070101,39,3,554,13,2007-10451-008,,National Recreation & Park Assn,Comment/Reply,Ethnic Identity; Ethnic Values; Experimentation; Leisure Time; Recreation; Asians; Camping; Whites; Latinos/Latinas,,"Reply by the current authors to the comments made by Paul H. Gobster (see record [rid]2007-10451-007[/rid]) on the original article (see record [rid]2007-10451-006[/rid]). Gobster addresses several issues in our paper. These include, first, a suggestion that the measure of cultural values that we used is not appropriate for understanding possible variations in racial and ethnic patterns of outdoor leisure preferences and behavior. Second, Gobster questions our concern with the use of common racial and ethnic labels because these are part and parcel of the way in which people look at others. Third, grouping people by racial and ethnic labels has often contributed to social justice. Fourth, ethnic groups in the U.S. are growing and what may have been small differences between groups in the past may be magnified in the future due to these demographic shifts. Fifth, research is constrained by resources that limit sampling designs and, therefore, collapsing smaller ethnic and/or racial groups into larger ones may be required for statistical comparisons of adequate power to be made. Sixth, Gobster expresses concern over our use of cultural consensus analysis, a single method, in claiming that ethnicity may not be a useful concept. Finally, he mentions the problem with variance accounted for in studies of leisure participation, a concern that we expressed in our paper. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-10451-008&site=ehost-live&scope=site
Ethnicity as a variable in leisure research.,"Li, Chieh-Lu; Chick, Garry E.; Zinn, Harry C.; Absher, James D.; Graefe, Alan R.",Journal of Leisure Research,00222216,,20070101,39,3,514,32,2007-10451-006,,National Recreation & Park Assn,Journal Article,Ethnic Identity; Ethnic Values; Experimentation; Leisure Time; Recreation; Asians; Camping; Whites; Latinos/Latinas; Adulthood (18 yrs & older); Male; Female,,"The purpose of this study is to examine the usefulness of ethnicity as a construct in leisure research. In particular, we are interested in the degree to which presumed ethnic groups exhibit internal cultural homogeneity. In 2002, the visitors to the Angeles National Forest (ANF) near metropolitan Los Angeles were surveyed. Using purposive sampling at sites known to be heavily used by visitors with diverse ethnic backgrounds, we obtained a sample of 444 Anglos, 312 Hispanics, and 319 Asians (overall n = 1,174). We examined whether the three nominal ethnic groups, Anglos, Hispanics, and Asians, were homogeneous in terms of cultural values as measured by Hofstede's (1980) instrument. We assume that if distinctive ethnic subcultures exist then they should be identifiable by specific measures of languages, religion, family structure, cultural values, and the like. We used cultural consensus analyses to test the homogeneity of the three ethnic groups. The results of cultural consensus analyses showed that none of the three ethnic groups and none of the subgroups we examined within the three ethnic groups were homogeneous in terms of the cultural values. Discussion of the findings and research implications are suggested. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-10451-006&site=ehost-live&scope=site
Ethnicity self-esteem and custodial adjustment in young offenders.,"Aleixo, Paulo A.; Blud, Linda; O'Keeffe, Susan","Psychology, Crime & Law",1068316X,,19970101,3,4,301,8,1999-03741-005,10.1080/10683169708410825,Taylor & Francis,Journal Article,Adjustment; Prisons; Racial and Ethnic Differences; Self-Esteem; Asians; Blacks; Juvenile Delinquency; Whites; Male Criminal Offenders; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Male,,"The Culture Free Self-Esteem Inventory (J. Battle, 1992) and the Custodial Adjustment Questionnaire were administered to each of a group of 25 White, 25 Black and 25 Asian inmates of a young offenders institution. Results showed that Asian inmates scored significantly lower on all self-esteem measures and significantly higher on inmate distress than either of the other groups. Self-esteem was also found to be significantly negatively correlated with inmate distress. The main explanations for the findings centred around suggestions that separation from the family reduces ethnic identity in Asian inmates and thus results in a lowered ability to stave off attacks to self-esteem and hence adapt to custodial life, although caution was exercised in these explanations since no direct measure of ethnic identity was taken. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1999-03741-005&site=ehost-live&scope=site
"Ethnicity, coping, and distress among Korean Americans, Filipino Americans, and Caucasian Americans.","Bjorck, Jeffrey P.; Cuthbertson, William; Thurman, John W.; Lee, Yung Soon",The Journal of Social Psychology,00224545,,20010801,141,4,421,22,2001-18849-001,10.1080/00224540109600563,Heldref Publications,Journal Article,Coping Behavior; Distress; Ethnic Identity; Racial and Ethnic Groups; Racial and Ethnic Differences; Asians; Whites; Latinos/Latinas; Adulthood (18 yrs & older); Male; Female,,"The authors examined appraisal, coping, and distress among Korean American (mean age 23.05 yrs old), Filipino American (mean age 25.24 yrs old), and Caucasian American Protestants (mean age 25.24 yrs old). No interaction effects emerged among ethnic groups, but there were significant ethnic main effects for appraisal and coping. Compared with the Caucasian Americans, both Asian American groups appraised stressors as more challenging, and the Korean Americans appraised them also as greater losses. Both Asian American groups reported using more strategies of accepting responsibility, religious coping, distancing, and escape-avoidance than the Caucasian Americans did; the Filipino Americans also reported more problem-solving strategies than the Caucasian Americans. For all participants, challenge appraisals predicted adaptive coping (problem solving and positive reappraisal) and less distress. Problem solving, seeking social support, and positive reappraisal predicted less distress; self-control, accepting responsibility, and escape-avoidance predicted greater distress. The authors stress the value of assessing ethnicity in coping research. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2001-18849-001&site=ehost-live&scope=site
"Ethnicity, culture, and sexual aggression: Risk and protective factors.","Hall, Gordon C. Nagayama; Teten, Andra L.; DeGarmo, David S.; Sue, Stanley; Stephens, Kari A.",Journal of Consulting and Clinical Psychology,0022006X,,20051001,73,5,830,11,2005-13740-006,10.1037/0022-006X.73.5.830,American Psychological Association,Journal Article,Aggressive Behavior; Cross Cultural Differences; Ethnic Identity; Risk Factors; Sexual Abuse; Asians; Protective Factors; Adulthood (18 yrs & older); Male; Female,,"Explanatory models of sexual aggression were examined among mainland Asian American (n = 222), Hawaiian Asian American (n = 127), and European American men (n = 399). The Malamuth et al. (N. M. Malamuth, D. Linz, C. L. Heavey, G. Barnes, & M. Acker, 1995; N. M. Malamuth, R. J. Sockloskie, M. P. Koss, & J. S. Tanaka, 1991) confluence model of sexual aggression, which posits impersonal sex and hostile masculinity as paths to sexual aggression, was consistently supported. Culture-specific moderators of sexual aggression were also identified. Whereas loss of face was a protective factor against sexual aggression in the Asian American samples, it generally was not a protective factor among European Americans. These findings are not a function of actual or perceived minority status. An implication is that theoretical models may need to be augmented with cultural constructs for optimal application in certain ethnic group contexts. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-13740-006&site=ehost-live&scope=site
"Ethnicity, identity and mental health: The use of rhetoric in an immigrant Chinese church.","Palinkas, Lawrence A.",Journal of Psychoanalytic Anthropology,02782944,,19820601,5,3,235,24,1983-20950-001,,"Institute for Psychohistory, Inc.",Journal Article,Acculturation; Christianity; Culture Shock; Ethnic Identity; Religious Beliefs; Asians; Ethnic Values; Immigration; Mental Health,,"Studied the impact of church membership in 2 Mandarin-speaking Christian churches in San Diego. Ethnicity in these churches was tied to (1) members' sociocultural adjustment to their new environment and the psychological stress engendered by the adjustment; (2) the juxtaposition of the Chinese and Western cultural traditions; and (3) the role of religious discourse in anxiety reduction and identity resolution. The church was supportive to many Chinese because it offered a healing-redemptive fellowship concerned with spiritual and mental health; it also served as a substitute for the Chinese kinship network and acted as an arena for sociocultural change. Three strategies helped form a Chinese-Christian identity: the combining of the Chinese and Christian worlds, the promotion of a united church, and the minimization of personal conflicts. Rhetoric also tied together group and individual perspectives. Three brief sketches are presented of 22- and 24-yr-old males and a 62-yr-old female whose depression, anxiety, and loneliness were alleviated through their church membership. (23 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)",http://proxy.uchicago.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1983-20950-001&site=ehost-live&scope=site
